traffic,weather,distance,time_of_day,delay
low,clear,5,morning,0
low,clear,8,morning,0
medium,cloudy,10,afternoon,0
high,rain,12,evening,1
high,storm,15,night,1
medium,rain,9,evening,1
low,cloudy,7,afternoon,0
medium,clear,11,evening,0
high,cloudy,14,afternoon,1
low,rain,6,night,0
medium,storm,13,evening,1
high,rain,16,night,1
low,clear,4,morning,0
medium,cloudy,10,morning,0
high,storm,18,evening,1
medium,rain,12,night,1
low,clear,6,afternoon,0
high,cloudy,15,evening,1
medium,clear,9,morning,0
low,cloudy,7,evening,0
